VCD info: dumpfile CLA.vcd opened for output.
time = 0, a = 0000, b = 0000, cin = 0, res = 0000, cout = 0
time = 1, a = 0001, b = 0000, cin = 0, res = 0001, cout = 0
time = 2, a = 0010, b = 0000, cin = 0, res = 0010, cout = 0
time = 3, a = 0011, b = 0000, cin = 0, res = 0011, cout = 0
time = 4, a = 0100, b = 0000, cin = 0, res = 0100, cout = 0
time = 5, a = 0101, b = 0000, cin = 0, res = 0101, cout = 0
time = 6, a = 0110, b = 0000, cin = 0, res = 0110, cout = 0
time = 7, a = 0111, b = 0000, cin = 0, res = 0111, cout = 0
time = 8, a = 1000, b = 0000, cin = 0, res = 1000, cout = 0
time = 9, a = 1001, b = 0000, cin = 0, res = 1001, cout = 0
time = 10, a = 1010, b = 0000, cin = 0, res = 1010, cout = 0
time = 11, a = 1011, b = 0000, cin = 0, res = 1011, cout = 0
time = 12, a = 1100, b = 0000, cin = 0, res = 1100, cout = 0
time = 13, a = 1101, b = 0000, cin = 0, res = 1101, cout = 0
time = 14, a = 1110, b = 0000, cin = 0, res = 1110, cout = 0
time = 15, a = 1111, b = 0000, cin = 0, res = 1111, cout = 0
time = 16, a = 0000, b = 0001, cin = 0, res = 0001, cout = 0
time = 17, a = 0001, b = 0001, cin = 0, res = 0010, cout = 0
time = 18, a = 0010, b = 0001, cin = 0, res = 0011, cout = 0
time = 19, a = 0011, b = 0001, cin = 0, res = 0100, cout = 0
time = 20, a = 0100, b = 0001, cin = 0, res = 0101, cout = 0
time = 21, a = 0101, b = 0001, cin = 0, res = 0110, cout = 0
time = 22, a = 0110, b = 0001, cin = 0, res = 0111, cout = 0
time = 23, a = 0111, b = 0001, cin = 0, res = 1000, cout = 0
time = 24, a = 1000, b = 0001, cin = 0, res = 1001, cout = 0
time = 25, a = 1001, b = 0001, cin = 0, res = 1010, cout = 0
time = 26, a = 1010, b = 0001, cin = 0, res = 1011, cout = 0
time = 27, a = 1011, b = 0001, cin = 0, res = 1100, cout = 0
time = 28, a = 1100, b = 0001, cin = 0, res = 1101, cout = 0
time = 29, a = 1101, b = 0001, cin = 0, res = 1110, cout = 0
time = 30, a = 1110, b = 0001, cin = 0, res = 1111, cout = 0
time = 31, a = 1111, b = 0001, cin = 0, res = 0000, cout = 1
time = 32, a = 0000, b = 0010, cin = 0, res = 0010, cout = 0
time = 33, a = 0001, b = 0010, cin = 0, res = 0011, cout = 0
time = 34, a = 0010, b = 0010, cin = 0, res = 0100, cout = 0
time = 35, a = 0011, b = 0010, cin = 0, res = 0101, cout = 0
time = 36, a = 0100, b = 0010, cin = 0, res = 0110, cout = 0
time = 37, a = 0101, b = 0010, cin = 0, res = 0111, cout = 0
time = 38, a = 0110, b = 0010, cin = 0, res = 1000, cout = 0
time = 39, a = 0111, b = 0010, cin = 0, res = 1001, cout = 0
time = 40, a = 1000, b = 0010, cin = 0, res = 1010, cout = 0
time = 41, a = 1001, b = 0010, cin = 0, res = 1011, cout = 0
time = 42, a = 1010, b = 0010, cin = 0, res = 1100, cout = 0
time = 43, a = 1011, b = 0010, cin = 0, res = 1101, cout = 0
time = 44, a = 1100, b = 0010, cin = 0, res = 1110, cout = 0
time = 45, a = 1101, b = 0010, cin = 0, res = 1111, cout = 0
time = 46, a = 1110, b = 0010, cin = 0, res = 0000, cout = 1
time = 47, a = 1111, b = 0010, cin = 0, res = 0001, cout = 1
time = 48, a = 0000, b = 0011, cin = 0, res = 0011, cout = 0
time = 49, a = 0001, b = 0011, cin = 0, res = 0100, cout = 0
time = 50, a = 0010, b = 0011, cin = 0, res = 0101, cout = 0
time = 51, a = 0011, b = 0011, cin = 0, res = 0110, cout = 0
time = 52, a = 0100, b = 0011, cin = 0, res = 0111, cout = 0
